order_id,product_id,store_id,product_name,city,date_of_sale,quantity,sales_amount
26,326,4,Soap,Port Melinda,2023-06-28,9,40.64
15,789,7,Pants,Tinafurt,2007-08-31,5,36.82
21,406,1,Chair,Saundersland,2006-12-25,10,29.9
89,954,10,Car,South Jonathanbury,2011-03-12,10,40.69
11,63,7,Ball,Territon,2022-09-15,1,20.68
33,69,8,Bike,Elliotthaven,2009-08-11,8,34.4
13,338,4,Table,New Teresa,2017-04-01,5,71.29
45,362,7,Fish,South Kimberly,2026-12-29,1,39.33
34,599,4,Gloves,Estradaside,2007-06-01,3,26.78
25,733,6,Tuna,Karenport,2016-12-05,7,38.6
15,583,2,Chicken,Mayfort,2014-08-12,5,15.95
20,276,1,Cheese,West Kenneth,2020-07-19,3,40.1
92,902,2,Hat,Lake Sandy,2013-07-26,7,52.15
36,165,7,Mouse,Port Eric,2024-02-26,5,26.92
11,448,7,Computer,Sanchezburgh,2004-01-11,9,25.95
71,470,10,Chicken,Torresburgh,2004-12-11,1,54.65
70,598,7,Cheese,Port Joseph,2002-05-15,6,68.74
54,410,6,Computer,East Adam,2001-08-24,7,52.59
21,197,9,Soap,New Nicole,2026-03-21,2,21.64
91,641,5,Gloves,Williamston,2010-03-23,2,45.65
38,458,8,Shoes,North Ian,2012-10-17,10,64.35
40,576,6,Chicken,Poolechester,2018-08-19,6,30.55
61,723,4,Chair,Brianhaven,2006-06-12,2,51.5
44,624,5,Car,Loriville,2008-09-04,10,21.4
99,191,1,Soap,East Laurenton,2010-01-27,3,38.69
50,788,4,Fish,Shawntown,2019-07-10,7,22.25
95,525,1,Chips,West Lisachester,2014-02-02,9,36.89
1,889,8,Salad,Kristenstad,2019-08-03,10,52.16
23,848,3,Sausages,Morganstad,2026-01-14,2,43.54
15,532,2,Salad,Jacobshire,2005-05-23,0,55.73
21,187,4,Computer,Patriciashire,2011-11-13,8,48.52
18,556,1,Salad,Scottburgh,2006-05-16,10,54.9
69,397,5,Pants,Hebertfurt,2022-04-19,6,69.76
69,493,10,Tuna,Leslieborough,2006-06-22,0,26.74
98,282,1,Computer,South Jonathanside,2023-12-26,1,62.96
82,875,2,Chair,Paulborough,2005-10-12,0,69.82
62,755,7,Computer,Staceyton,2019-07-11,6,44.63
12,819,5,Pizza,Lake Susanshire,2008-08-20,3,31.5
37,353,10,Shirt,East Paulborough,2025-02-06,0,10.94
50,664,4,Sausages,Emilymouth,2011-05-25,8,40.5
59,258,7,Table,Courtneybury,2000-04-23,3,52.36
25,381,4,Shoes,Wilsonchester,2016-05-28,10,71.51
19,274,10,Hat,North Bobbyshire,2005-11-07,4,12.85
100,540,10,Car,Katrinaville,2017-10-17,10,42.78
69,199,7,Pants,Williammouth,2002-08-28,9,14.36
73,375,5,Towels,Woodberg,2026-01-25,3,52.19
69,888,2,Shirt,South Sharon,2022-12-06,6,66.92
41,112,10,Cheese,Mariaton,2017-05-11,7,28.13
1,334,7,Computer,New Michellestad,2015-03-21,2,36.63
23,859,5,Table,North Angela,2014-09-14,0,45.14
100,813,10,Hat,Yorkmouth,2009-01-21,3,41.82
86,429,3,Bacon,Lake Cody,2025-04-22,1,65.83
15,577,6,Soap,Mcdonaldchester,2025-10-09,6,58.78
31,428,3,Bacon,North Kirsten,2009-09-20,1,65.4
94,934,6,Table,North Larry,2011-07-28,10,26.9
86,109,10,Pants,East Jesse,2006-06-01,6,37.7
18,238,3,Table,West Loriport,2007-12-31,2,19.5
76,178,9,Car,Griffinbury,2003-12-20,4,22.56
6,939,6,Towels,West Andrea,2022-02-19,3,74.61
62,547,1,Chicken,Whitemouth,2000-07-17,2,23.41
85,591,9,Car,Garrettberg,2011-04-16,10,65.33
39,525,5,Shoes,Woodsville,2018-01-12,7,51.69
78,978,8,Car,Lake Michelle,2017-11-25,10,66.41
42,669,10,Chips,Alvaradotown,2007-12-12,8,56.57
46,186,6,Fish,Shawchester,2024-06-20,2,18.44
44,753,6,Mouse,Collinsmouth,2002-08-04,6,62.84
47,493,9,Towels,Maryfort,2012-12-03,5,20.9
26,759,8,Table,North Williamport,2014-06-01,0,23.53
1,505,7,Bacon,New Laurieburgh,2018-09-05,3,60.28
43,340,2,Shirt,Toddchester,2010-10-05,9,54.88
64,953,7,Computer,West Stacyland,2011-06-23,4,35.86
90,202,5,Salad,Lake Destinychester,2025-07-07,7,27.29
46,198,7,Shoes,Andersonburgh,2003-03-31,10,57.96
72,900,8,Chicken,Huntfort,2008-11-06,4,64.56
94,188,7,Gloves,Ericabury,2016-12-03,7,68.17
49,149,3,Computer,Lloydchester,2013-04-24,7,21.22
57,594,10,Salad,West Tonyaton,2013-11-29,4,70.69
94,339,4,Bacon,North Emily,2012-08-15,2,25.75
5,692,8,Cheese,New Becky,2000-04-04,4,54.26
1,748,1,Chips,Danielville,2001-07-06,0,13.28
58,567,7,Table,Bryceport,2006-12-24,1,72.59
32,712,10,Hat,Lanetown,2021-07-09,4,48.85
29,224,1,Tuna,Smithstad,2010-11-01,5,19.63
82,828,5,Keyboard,Penashire,2023-06-06,9,14.48
46,268,7,Table,Conradville,2018-11-18,0,22.59
16,826,1,Gloves,Port Michaelbury,2013-12-30,0,15.67
1,317,6,Computer,Chasemouth,2026-09-11,0,42.76
16,563,5,Gloves,Samanthaton,2004-08-31,10,57.99
99,151,2,Chicken,East Michael,2023-04-23,2,45.81
33,819,8,Hat,North Ashleyborough,2010-10-23,1,39.7
40,280,8,Soap,New Ronniebury,2020-05-26,5,44.29
17,441,4,Chicken,Fosterfort,2012-03-10,2,21.0
57,558,5,Computer,Andersonview,2003-10-16,1,35.13
100,499,10,Chair,Lake George,2010-10-31,9,21.33
67,422,9,Keyboard,Lake Jasmineborough,2019-10-16,10,67.96
26,143,10,Sausages,Alextown,2001-02-11,6,61.52
1,685,6,Ball,Millsstad,2008-07-27,9,60.15
18,260,5,Towels,East Brianna,2013-03-25,10,16.4
77,137,2,Pants,Lake Jon,2013-01-22,4,36.1
23,507,2,Gloves,Jenniferland,2015-02-12,1,41.55
2,467,1,Salad,New Shelbymouth,2015-03-07,2,45.54
65,714,10,Cheese,East Kristin,2005-02-28,3,35.6
5,556,9,Shoes,North Kellyview,2017-06-25,5,17.6
86,493,9,Pizza,Chavezfurt,2018-03-15,0,29.0
31,305,2,Gloves,Allentown,2007-08-02,6,34.7
46,470,6,Tuna,Wangbury,2006-05-16,7,73.78
61,313,6,Fish,Port Sarah,2005-05-26,0,35.52
29,99,2,Bike,Cookfurt,2026-03-30,5,47.71
63,438,10,Table,South Jessicaland,2008-09-09,8,33.24
86,194,10,Chair,Abbottville,2007-01-13,5,65.87
70,571,7,Towels,Scottborough,2000-04-27,4,38.91
66,495,6,Pants,Hartville,2009-02-03,7,73.77
83,135,2,Cheese,West Courtney,2005-06-23,10,63.95
94,212,1,Bike,Rodriguezport,2015-11-26,0,17.1
0,868,5,Cheese,West Sarashire,2010-08-28,10,62.78
40,87,5,Bike,Ramirezstad,2025-01-18,3,11.6
28,983,2,Computer,West Eric,2008-06-16,7,28.11
71,728,4,Pants,East Brendafurt,2020-01-16,5,71.24
54,369,2,Salad,West Jennifer,2002-12-25,6,13.93
54,989,5,Towels,North Robert,2002-08-05,7,57.8
80,487,4,Ball,Crystaltown,2016-09-23,5,72.38
52,148,7,Computer,Campbellport,2024-08-20,3,64.22
38,144,6,Shirt,North Annettestad,2010-07-18,4,21.11
96,961,2,Keyboard,Williamsshire,2005-02-14,10,48.73
97,334,7,Car,Alyssafurt,2004-06-30,9,57.86
85,424,5,Chair,Hallbury,2026-03-12,6,46.8
74,591,8,Shoes,Maryburgh,2011-06-25,1,37.12
43,619,1,Bacon,Jaclynville,2011-02-09,0,18.19
44,643,7,Bike,North Michaelmouth,2022-03-05,5,23.4
19,325,4,Pants,Francesborough,2016-10-28,7,24.92
68,329,3,Pants,Stacymouth,2007-02-05,6,22.11
22,347,8,Fish,New Jacquelineborough,2004-02-25,4,53.71
56,697,2,Bacon,Martinezport,2023-04-30,10,55.21
32,905,8,Fish,Hernandezmouth,2016-11-02,9,66.3
42,161,7,Car,Lake Jasonland,2005-07-16,2,69.5
3,371,1,Gloves,Kathrynmouth,2012-02-02,4,46.77
24,417,3,Soap,Lake Saraborough,2010-07-17,4,42.64
60,815,10,Car,Port Frank,2024-08-28,0,18.64
33,491,4,Towels,Peterschester,2006-11-13,3,33.91
85,280,2,Table,Port Xaviermouth,2008-12-22,6,16.27
96,975,9,Shoes,East Heatherhaven,2006-12-25,0,21.53
0,551,6,Car,Port Keith,2023-01-05,8,12.79
82,473,9,Keyboard,Robertport,2008-07-16,3,59.58
47,743,6,Chips,Lake Lindseyport,2012-08-10,5,44.91
45,751,8,Chips,North Justinside,2015-11-06,10,63.51
66,897,1,Ball,Christopherbury,2008-03-18,0,55.27
48,664,7,Table,South Carolyn,2019-01-21,10,12.75
43,970,9,Hat,South Ralph,2014-05-20,3,71.83
70,729,7,Ball,South Jessica,2008-11-07,2,34.3
98,658,8,Fish,Lake Jeffreyview,2006-04-22,2,62.5
58,586,2,Mouse,Keyville,2016-10-17,5,35.33
56,870,10,Computer,Reesemouth,2021-05-22,4,52.15
99,73,4,Chicken,North Shanehaven,2025-11-23,3,64.41
17,834,4,Chicken,Benjaminshire,2015-08-03,3,68.29
10,150,7,Pants,South Adamchester,2020-01-20,7,71.14
9,953,5,Gloves,West Henry,2015-12-03,5,11.38
17,75,8,Chicken,Jonesburgh,2007-07-30,7,14.82
91,76,8,Fish,South Jesus,2020-04-26,10,29.62
25,960,5,Sausages,Mileston,2003-12-27,6,56.84
59,128,10,Pizza,Thomasfurt,2006-11-12,1,43.7
7,281,3,Pants,New Joseph,2012-01-30,7,27.1
33,977,5,Towels,Lake Natalieland,2024-06-11,4,56.8
63,703,4,Table,New Danielleland,2016-12-03,7,72.0
41,363,9,Shirt,Lake Donnaburgh,2000-05-25,7,47.15
19,886,10,Gloves,Dianehaven,2001-02-25,0,53.32
43,252,6,Hat,Wrightbury,2019-01-09,0,67.69
5,671,2,Cheese,East Raven,2015-12-17,0,48.7
6,616,3,Bacon,Kingland,2021-08-27,2,38.88
39,431,1,Soap,Morenoborough,2010-05-20,5,20.34
21,489,6,Sausages,Michelleberg,2000-11-06,2,62.23
82,503,9,Chicken,North Michaelmouth,2025-12-30,1,54.22
85,269,3,Chicken,New Stacy,2011-05-22,10,34.89
82,725,8,Fish,Susanport,2019-07-13,4,68.97
69,687,8,Soap,South Phillip,2011-09-25,4,11.99
100,602,9,Shirt,Deleonbury,2015-07-20,3,61.31
39,531,2,Cheese,South Josephside,2026-04-25,10,29.78172760054447
1,472,6,Ball,Lake Kristen,2017-03-27,5,58.62
16,604,9,Computer,Oliverland,2008-04-15,4,73.53
9,313,7,Chips,Lake Kelly,2010-02-25,1,58.63
90,206,9,Hat,Lake Theresamouth,2008-02-24,7,64.21
35,131,6,Bike,West Michellehaven,2025-08-29,0,57.23
32,846,10,Sausages,West Jacobmouth,2011-08-24,5,16.8
94,479,7,Computer,Petersenland,2015-06-16,9,66.84
38,540,7,Hat,South Amandaborough,2024-01-10,3,43.71
89,565,10,Bike,Bellton,2016-02-21,0,24.33
99,885,8,Bike,Williamston,2022-02-24,6,55.7
43,548,4,Cheese,Ellismouth,2004-07-29,0,53.9
54,579,8,Sausages,West Lisa,2008-06-08,1,65.2
35,630,6,Car,Kellystad,2012-09-23,2,10.76
62,996,1,Ball,Lake Edwardfort,2018-01-21,5,65.46
10,271,10,Shoes,South Jason,2010-11-20,0,18.82
56,963,8,Towels,Port Todd,2024-10-06,9,59.7
92,727,3,Chips,Patriciaborough,2011-03-28,6,45.71
53,797,6,Chicken,East Christy,2008-02-08,6,71.15
91,476,9,Salad,North Jamesside,2009-12-04,0,26.48
9,156,3,Cheese,Port Robertstad,2021-08-06,10,17.18
62,309,4,Shoes,West Brian,2000-09-13,6,72.54
54,605,7,Table,East Jeremy,2013-04-08,3,24.0
6,156,7,Table,Jennifershire,2014-05-22,8,67.1
50,863,2,Chips,Jonathanburgh,2000-02-24,2,60.4
18,661,5,Gloves,East Williamchester,2002-09-07,1,42.23
76,865,2,Bike,Davidberg,2008-12-16,6,73.84
80,308,6,Soap,Shannonhaven,2025-12-29,8,17.68
39,95,1,Salad,Port Rachelmouth,2008-02-02,7,44.72
39,627,10,Bacon,Taylorburgh,2009-03-06,5,42.38
25,161,5,Pizza,Garciaburgh,2005-09-26,5,74.91
99,634,2,Towels,West Hannah,2017-04-12,2,14.75
50,598,5,Chips,Lake Miguelburgh,2025-01-26,9,30.44
20,647,8,Gloves,Stevenhaven,2009-08-24,3,62.46
11,699,2,Computer,Perezside,2012-07-24,4,47.1
23,308,2,Car,Lozanoport,2022-01-03,5,25.14
69,204,4,Bike,Davidshire,2013-06-28,6,16.89
60,434,10,Gloves,South Stephen,2023-12-24,7,66.87
91,921,1,Pizza,Port Katherineside,2011-10-26,0,71.25
34,957,8,Chips,Port Erikville,2010-01-25,7,59.67
32,970,1,Pizza,South Nancy,2026-03-11,9,20.93
7,119,5,Shoes,North Annefurt,2023-08-23,4,46.96
88,469,7,Pizza,South Laura,2000-11-11,9,45.56
0,318,6,Hat,New Derek,2010-12-11,2,34.29
17,889,9,Shirt,South Annaview,2007-07-03,0,59.64
1,471,8,Hat,Port Amanda,2006-05-29,5,34.4
49,402,4,Gloves,Justinview,2016-03-21,4,69.37
80,716,10,Car,Diazfurt,2006-12-30,3,71.93
82,238,5,Shirt,Beckerberg,2007-12-14,8,72.32605830711452
17,442,3,Salad,Lake Beverlyshire,2002-04-06,7,24.16
17,583,10,Mouse,New Denise,2016-05-28,1,55.2
95,217,8,Shoes,Lake Donna,2019-01-02,5,47.6
43,907,8,Pants,West Annamouth,2002-09-07,0,58.32
38,477,6,Fish,New Matthewmouth,2025-05-08,2,65.74
4,329,2,Soap,South Randyside,2015-03-08,10,57.69
77,605,6,Salad,Port Richard,2022-06-13,9,48.8
98,787,9,Ball,Stephanieborough,2019-07-19,10,26.25
18,290,6,Chips,Harrellburgh,2016-09-14,9,50.97
85,310,10,Chips,Fuentesview,2001-12-31,3,18.1
37,919,2,Soap,Georgechester,2006-12-22,10,14.75
96,353,6,Salad,Lake Melissa,2026-10-27,7,16.22
0,800,3,Bike,Lake Codybury,2005-08-31,9,28.5
63,764,3,Mouse,Virginiamouth,2025-07-02,9,19.73
54,247,8,Fish,Jacobborough,2009-12-28,3,68.79
17,924,9,Chair,North Michael,2023-02-22,8,67.42
68,793,4,Towels,Harrellbury,2014-02-10,0,48.75
76,360,1,Tuna,Longland,2000-07-23,8,14.14
100,759,3,Bacon,Benjaminchester,2003-05-27,7,70.47
61,176,8,Mouse,North Deborah,2019-04-16,3,18.28
40,269,1,Pants,North Kimberly,2015-05-25,3,24.24
18,977,6,Keyboard,Gibsonshire,2001-04-25,6,55.63
37,178,9,Computer,Martinborough,2019-12-21,7,56.93
30,340,7,Chips,Beckertown,2020-03-22,0,66.6
90,213,10,Shirt,Laurenview,2005-09-20,1,74.58
47,223,3,Sausages,West Kenneth,2024-07-16,1,21.28
64,141,9,Computer,Bishopmouth,2018-02-09,10,70.1
78,315,7,Computer,West Amy,2005-09-13,6,49.89
43,80,10,Shoes,Michaelshire,2010-07-09,5,19.14
30,337,4,Chips,New Roberttown,2020-12-26,2,68.95
100,943,1,Chicken,South Timothyberg,2005-02-24,1,49.82
83,65,7,Hat,Smithville,2025-09-22,2,36.29
42,594,5,Chair,East Lawrence,2017-01-27,1,45.68
65,691,5,Shirt,West Jennifer,2010-08-26,3,63.21
83,697,5,Bike,West Alan,2003-01-26,5,36.29
98,646,2,Salad,Nathanberg,2002-07-25,7,42.16
34,996,2,Table,Fernandezstad,2024-08-05,2,60.99
35,816,9,Towels,Burnsbury,2012-04-25,9,73.47
70,256,1,Chair,North Amandaton,2014-02-08,3,25.0
89,428,10,Chips,Brownberg,2007-12-01,3,45.4
11,750,8,Ball,New Jennifer,2021-03-30,5,40.79
75,441,6,Ball,North Fred,2003-04-12,1,34.9
71,653,1,Shoes,New Justin,2007-02-06,6,36.34
86,235,7,Towels,Caseyhaven,2020-08-29,3,31.8
91,134,6,Fish,Gregoryfort,2002-03-14,6,30.25
20,362,6,Sausages,Lake Anthony,2026-12-19,0,66.35
77,474,9,Bacon,Bradfordport,2016-03-27,10,19.53
77,924,7,Hat,North Fernando,2000-07-15,8,43.58
20,894,3,Pizza,Jamiebury,2004-11-19,2,68.46
99,931,3,Pants,Gregorystad,2023-03-28,0,74.62
36,152,10,Chair,Glennberg,2022-02-21,3,16.19
82,329,1,Fish,Bartlettport,2000-02-23,3,17.9
0,936,4,Table,Moorefurt,2022-02-21,2,58.39
62,214,3,Car,Ramirezhaven,2007-11-14,3,22.21
84,414,6,Shoes,West Zacharyhaven,2002-01-28,8,46.49
28,255,7,Salad,Dixonshire,2006-02-18,7,27.17
46,483,9,Towels,West Kathyside,2006-04-04,4,58.32
80,976,1,Fish,Lake Kevin,2004-04-15,6,71.14
39,288,10,Sausages,Julianville,2020-01-01,9,41.88
46,711,3,Towels,West Meagantown,2002-04-13,0,69.17
96,598,2,Gloves,South Barbarachester,2026-06-29,7,61.37
62,736,9,Car,Port Yvonnemouth,2014-05-24,8,32.2
32,874,4,Chips,Mcdonaldborough,2000-06-02,1,60.37
24,925,7,Pants,New Brendaland,2023-04-18,7,36.31
62,831,9,Keyboard,Joshuaton,2008-11-12,3,22.14
14,555,8,Bike,West Johnberg,2014-04-13,1,48.18
3,394,8,Salad,Garyton,2025-08-19,0,26.64
44,371,9,Car,Port Robert,2021-04-09,8,52.8
65,524,8,Pizza,West Alexander,2026-03-07,2,62.91
14,825,3,Towels,Richardbury,2011-02-21,1,18.36
57,733,5,Shirt,North Joshuaberg,2002-04-06,1,55.17
53,345,10,Shoes,Aaronbury,2000-08-05,1,51.54
61,993,10,Car,Ortizside,2002-04-26,8,42.81
40,191,5,Ball,Spencerburgh,2007-03-15,7,35.47
15,800,5,Keyboard,Mcintoshshire,2013-09-23,0,55.76
43,747,4,Towels,Perkinsborough,2015-05-17,6,43.55
41,708,6,Sausages,Morrismouth,2001-10-31,6,20.2
59,503,9,Mouse,Jeremyhaven,2026-09-05,2,12.54
11,232,10,Towels,Hernandezport,2003-01-10,0,54.18
55,764,7,Cheese,Lauratown,2004-08-16,2,26.66
64,952,7,Fish,West Chrisbury,2016-10-10,9,13.6
54,349,2,Gloves,Samuelberg,2026-06-12,5,26.2
33,250,2,Chicken,Lake Karenmouth,2008-07-09,1,27.7
52,581,1,Car,Shelbyland,2019-02-23,8,12.62
9,678,2,Bacon,Port Andrea,2023-10-10,8,40.55
26,622,2,Bacon,North Brandyfort,2019-05-07,8,48.42
26,520,1,Fish,Nataliehaven,2006-09-05,7,69.49
53,294,9,Fish,Scottton,2017-01-19,1,58.6
72,323,10,Towels,Boyerside,2022-02-12,0,65.12
81,307,9,Chicken,Port Rose,2026-09-01,7,66.77
6,743,7,Bike,Williamport,2024-10-26,10,23.56
64,376,4,Computer,Waltonberg,2017-10-08,8,56.99
52,914,9,Car,North Tonyton,2000-02-05,7,44.22
13,531,2,Computer,Davistown,2016-11-30,4,68.0
54,210,1,Ball,Jimenezbury,2000-01-07,10,35.92
71,424,6,Chair,Tracymouth,2014-02-26,6,38.2
51,559,5,Shoes,Lake Ian,2022-02-04,4,18.14
3,261,10,Pizza,Lake Audrey,2022-07-26,5,20.4
71,862,8,Salad,Marquezport,2008-08-18,2,20.89
93,350,3,Chicken,West James,2010-02-19,1,37.18
20,208,6,Tuna,Saundersland,2017-04-04,3,22.81
30,938,7,Mouse,Williamsshire,2009-03-07,10,44.687209181990234
27,796,9,Bike,Guerrerotown,2020-06-02,7,61.13
49,151,10,Car,Taylortown,2019-04-09,6,57.6
25,88,5,Bacon,South Katherine,2007-12-07,7,40.85
66,585,7,Tuna,North Anne,2014-12-07,9,25.5
47,291,6,Car,North Edwardside,2024-03-29,8,49.55
89,68,8,Shoes,Lake Traci,2010-10-21,3,28.61
74,300,4,Chips,New Dominique,2020-08-21,4,11.98
31,115,6,Pants,Georgemouth,2007-06-12,1,60.67
76,647,1,Bike,Stevenmouth,2025-10-08,8,63.37
2,854,4,Bacon,West Patrick,2015-10-11,6,17.87
2,573,10,Mouse,West Evan,2013-02-28,1,57.31
26,168,9,Table,West Jasonstad,2004-04-02,0,53.51
9,542,6,Gloves,Reevesview,2020-12-30,6,22.68
18,458,9,Tuna,Robinsonfort,2010-07-12,3,52.14
92,553,7,Fish,Lake Rebeccaburgh,2003-10-12,4,25.24
29,853,3,Cheese,East Keith,2011-07-12,8,53.84
11,73,2,Car,Port Charlotteberg,2007-03-01,0,67.39
83,300,10,Shoes,Port Richardstad,2023-11-24,4,37.53
93,566,9,Keyboard,Lake Heidiside,2022-01-17,8,22.35
41,643,6,Keyboard,West Annettefurt,2021-11-07,0,70.36
98,602,2,Hat,Yolandaland,2004-05-23,2,31.99
71,354,4,Salad,Mcdonaldview,2016-04-23,0,59.53
75,693,7,Sausages,Trantown,2009-03-12,2,31.16
100,879,3,Mouse,Jamesstad,2004-03-03,1,10.77
63,514,5,Bike,Johnland,2000-08-10,6,40.25
46,754,10,Bike,West Matthewtown,2011-06-03,1,12.81
80,527,6,Soap,South Nicoleview,2023-09-02,5,19.68
35,426,3,Car,East Mariaside,2024-06-30,2,47.21
31,768,7,Computer,Hillshire,2012-09-12,8,48.78
58,402,9,Hat,New Jennifer,2015-02-01,10,48.61
41,220,10,Pizza,West Brittany,2023-02-17,3,33.86
4,846,1,Towels,Henrymouth,2017-08-09,3,60.45
52,96,3,Fish,East Angela,2003-02-22,0,52.94
80,904,8,Chips,North Bernard,2013-05-23,4,58.53
58,850,8,Sausages,Lake Richard,2013-10-02,5,30.51
9,554,7,Gloves,South Brianport,2020-04-17,7,50.23
82,338,6,Hat,Elizabethmouth,2023-04-20,6,17.81
7,878,10,Chips,South Larrymouth,2004-12-22,8,50.56
17,675,9,Keyboard,New Jennifer,2015-07-17,6,31.59
90,624,7,Gloves,North Madison,2002-11-29,2,41.6
75,652,2,Shoes,Antoniobury,2021-01-16,0,61.8
67,548,6,Tuna,Port Johnmouth,2004-12-08,4,71.26
18,390,9,Pants,South Madisonview,2019-08-27,9,36.46
70,712,3,Pants,Romerofort,2022-04-15,3,32.8
76,222,6,Computer,New Stevenmouth,2008-04-27,0,51.19
41,698,10,Sausages,Barnesmouth,2003-10-03,5,73.22
11,231,6,Gloves,North Josemouth,2024-10-04,6,42.93
30,408,10,Shoes,North Cynthia,2009-05-31,0,57.88
32,106,5,Soap,East Timothymouth,2001-05-11,9,74.37
95,642,1,Gloves,Foleybury,2004-10-01,3,51.0
12,73,7,Ball,Christinabury,2001-09-06,0,20.13
79,128,4,Chips,Pamelachester,2015-07-24,3,39.38
67,575,9,Car,Lake Angela,2017-03-21,1,10.5
32,395,10,Keyboard,Lake Mackenzie,2016-03-14,4,11.74
84,93,6,Sausages,Isabelshire,2016-08-27,1,67.15
47,204,7,Pizza,East Jenniferview,2013-01-16,8,60.83
46,224,10,Shirt,Port Jamesland,2010-02-25,1,64.7
72,221,8,Mouse,North Toddside,2015-10-05,5,13.47
